Name,Gender,Hyperlink
Beta-Seven,Male,https://rickandmorty.fandom.com/wiki/Beta-Seven
Birdperson's Daughter,Female,https://rickandmorty.fandom.com/wiki/Birdperson%27s_Daughter
Council of Ricks,Male,https://rickandmorty.fandom.com/wiki/Council_of_Ricks
Crystallized Morty,Male,https://rickandmorty.fandom.com/wiki/Crystallized_Morty
Donna Guterman,Female,https://rickandmorty.fandom.com/wiki/Donna_Guterman
Hammerhead Morty (Fortnite),Male,https://rickandmorty.fandom.com/wiki/Hammerhead_Morty_(Fortnite)
Healthy Rick,Male,https://rickandmorty.fandom.com/wiki/Healthy_Rick
Heistotron,Genderless,https://rickandmorty.fandom.com/wiki/Heistotron
Hologram Rick (Edge of Tomorty: Rick Die Repeat),Male,https://rickandmorty.fandom.com/wiki/Hologram_Rick_(Edge_of_Tomorty:_Rick_Die_Repeat)
Mecha Morty (Fortnite),Male,https://rickandmorty.fandom.com/wiki/Mecha_Morty_(Fortnite)
Pat Guterman,Male,https://rickandmorty.fandom.com/wiki/Pat_Guterman
Pickle Rick (character),Male,https://rickandmorty.fandom.com/wiki/Pickle_Rick_(character)
Shadow Council of Ricks,Male,https://rickandmorty.fandom.com/wiki/Shadow_Council_of_Ricks
Task Force Alpha,Both,https://rickandmorty.fandom.com/wiki/Task_Force_Alpha
Unity,Both,https://rickandmorty.fandom.com/wiki/Unity